Customer_ID,Age,Country,Subscription_Plan,Monthly_Fee,Tenure_Months,Payment_Method,Login_Frequency,Support_Tickets,Feature_Usage_Score,Contract_Type,Churn_Status
CUST_0001,56,Germany,Pro,2794,21,PayPal,6,3,75.62,Monthly,Churned
CUST_0002,39,UK,Basic,1356,42,UPI,5,4,31.65,Monthly,Active
CUST_0003,31,Canada,Pro,2863,7,Debit Card,8,0,58.44,Annual,Active
CUST_0004,27,Australia,Enterprise,8911,14,PayPal,4,2,79.8,Monthly,Churned
CUST_0005,32,Germany,Basic,1356,24,Credit Card,3,7,59.48,Monthly,Churned
CUST_0006,41,USA,Pro,3395,35,PayPal,9,0,59.62,Monthly,Active
CUST_0007,49,Germany,Pro,3778,43,UPI,9,2,64.36,Monthly,Active
CUST_0008,50,Australia,Basic,782,13,Debit Card,4,0,37.08,Monthly,Active
CUST_0009,49,Australia,Pro,2636,12,Credit Card,5,1,52.27,Monthly,Active
CUST_0010,36,Canada,Pro,2576,32,PayPal,9,1,67.13,Monthly,Active
CUST_0011,20,USA,Pro,3455,3,Credit Card,10,2,50.58,Annual,Active
CUST_0012,19,Canada,Enterprise,7723,32,UPI,9,2,86.75,Monthly,Active
CUST_0013,46,Australia,Basic,1377,35,PayPal,10,1,41.95,Monthly,Active
CUST_0014,62,Canada,Basic,1275,34,UPI,8,2,45.25,Annual,Active
CUST_0015,54,Australia,Enterprise,4301,35,Credit Card,6,3,99.0,Monthly,Active
CUST_0016,40,UK,Basic,654,26,Debit Card,17,0,31.81,Monthly,Churned
CUST_0017,42,Canada,Basic,689,22,PayPal,6,3,31.46,Monthly,Active
CUST_0018,57,Canada,Pro,1768,42,Debit Card,5,4,83.93,Monthly,Churned
CUST_0019,42,India,Pro,2396,39,UPI,6,1,83.42,Monthly,Churned
CUST_0020,22,Canada,Basic,717,21,Debit Card,6,2,50.53,Annual,Active
CUST_0021,21,Australia,Pro,1835,28,UPI,12,0,72.48,Monthly,Churned
CUST_0022,52,India,Basic,589,26,UPI,7,3,32.76,Monthly,Active
CUST_0023,52,Canada,Basic,1477,32,Debit Card,12,0,30.0,Annual,Churned
CUST_0024,24,Canada,Enterprise,6782,19,Credit Card,5,2,98.52,Annual,Active
CUST_0025,31,Australia,Pro,2656,29,UPI,5,0,75.8,Annual,Churned
CUST_0026,44,Australia,Pro,3040,38,PayPal,13,1,67.97,Monthly,Churned
CUST_0027,45,USA,Pro,2394,1,PayPal,9,1,72.72,Annual,Active
CUST_0028,53,Canada,Pro,3055,47,Credit Card,10,2,52.64,Monthly,Active
CUST_0029,45,UK,Basic,540,27,Debit Card,14,0,30.4,Monthly,Active
CUST_0030,49,Canada,Enterprise,9898,25,UPI,15,1,87.82,Annual,Active
CUST_0031,18,Germany,Pro,3323,31,PayPal,10,0,51.64,Annual,Active
CUST_0032,19,Germany,Pro,3650,34,UPI,12,2,54.77,Monthly,Active
CUST_0033,19,Canada,Basic,1246,11,Debit Card,3,1,43.19,Monthly,Churned
CUST_0034,20,UK,Enterprise,4666,19,UPI,6,1,90.03,Monthly,Churned
CUST_0035,43,Canada,Pro,2644,30,Credit Card,2,1,74.07,Monthly,Active
CUST_0036,64,India,Basic,1225,28,Credit Card,8,0,29.44,Monthly,Active
CUST_0037,32,Australia,Basic,1130,10,PayPal,7,3,35.09,Monthly,Active
